job_id,first_seen,company,title,location,score,reason,applied,applied_on,url
greenhouse:acme-edge:5501001,2026-09-22T10:47:17+00:00,Acme Edge,"Software Engineer II, Distributed Systems","Bangalore, India",2.5,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/acme-edge/jobs/5501001
greenhouse:acme-edge:5501002,2026-09-22T10:47:17+00:00,Acme Edge,"Staff Software Engineer, Storage","Bengaluru, KA",2.5,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/acme-edge/jobs/5501002
greenhouse:acme-edge:5501003,2026-09-22T10:47:17+00:00,Acme Edge,Enterprise Account Executive,"Mumbai, India",0.0,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/acme-edge/jobs/5501003
greenhouse:acme-edge:5501004,2026-09-22T10:47:17+00:00,Acme Edge,"Backend Engineer, Payments","San Francisco, CA",2.5,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/acme-edge/jobs/5501004
greenhouse:acme-edge:5501005,2026-09-22T10:47:17+00:00,Acme Edge,"Senior Software Engineer, Platform",Remote - India,2.5,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/acme-edge/jobs/5501005
greenhouse:novapay:7702001,2026-09-22T10:47:17+00:00,Novapay,"Software Development Engineer, Core Infra","Bengaluru, India",2.5,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/novapay/jobs/7702001
greenhouse:novapay:7702002,2026-09-22T10:47:17+00:00,Novapay,"Frontend Engineer, Design Systems","Bengaluru, India",2.5,[keyword stub] no skill overlap,False,,https://boards.greenhouse.io/novapay/jobs/7702002
lever:quantstack:a1b2c3d4-1111-4aaa-9999-000000000001,2026-09-22T10:47:17+00:00,Quantstack,Backend Engineer (Go),Bangalore,2.5,[keyword stub] no skill overlap,False,,https://jobs.lever.co/quantstack/a1b2c3d4-1111-4aaa-9999-000000000001
lever:quantstack:a1b2c3d4-1111-4aaa-9999-000000000002,2026-09-22T10:47:17+00:00,Quantstack,"Engineering Manager, Platform",Bangalore,2.5,[keyword stub] no skill overlap,False,,https://jobs.lever.co/quantstack/a1b2c3d4-1111-4aaa-9999-000000000002
lever:quantstack:a1b2c3d4-1111-4aaa-9999-000000000003,2026-09-22T10:47:17+00:00,Quantstack,Site Reliability Engineer,Remote (India),2.5,[keyword stub] no skill overlap,False,,https://jobs.lever.co/quantstack/a1b2c3d4-1111-4aaa-9999-000000000003
ashby:helioscale:9f8e7d6c-2222-4bbb-8888-000000000001,2026-09-22T10:47:17+00:00,Helioscale,"Software Engineer, Networking","Bengaluru, India",2.5,[keyword stub] no skill overlap,False,,https://jobs.ashbyhq.com/helioscale/9f8e7d6c-2222-4bbb-8888-000000000001
ashby:helioscale:9f8e7d6c-2222-4bbb-8888-000000000003,2026-09-22T10:47:17+00:00,Helioscale,"Data Scientist, Growth","Bengaluru, India",0.0,[keyword stub] no skill overlap,False,,https://jobs.ashbyhq.com/helioscale/9f8e7d6c-2222-4bbb-8888-000000000003
